"Facility_ID","Site_ID","Facility_Name","Site_Municipality","Site_County"
"4PF00000","4PF00000601","Jackson Pike WRRF","Columbus","Franklin"
"4PF00001","4PF00001601","Southerly WWTP","Columbus","Franklin"
"2PF00000","2PF00000","Toledo Bay View Park WWTP","Toledo","Lucas"
"3PE00001","3PE00001","NEORSD Westerly WWTC","Cleveland","Cuyahoga"
"3PF00001","3PF00001","NEORSD Easterly WWTP","Cleveland","Cuyahoga"
"3PF00002","3PF00002","NEORSD Southerly WWTC","Cleveland","Cuyahoga"
"1PM00001","1PM00001602","Mill Creek WWTP","Cincinnati","Hamilton"
"1PL00000","1PL00000601","Little Miami WWTP","Cincinnati","Hamilton"
"1PK00006","1PK00006601","Muddy Creek WWTP","Cincinnati","Hamilton"
"2PD00035","2PD00035","Oregon WWTP","Toledo","Lucas"
"3PE00006","3PE00006","Youngstown WWTP","Youngstown","Mahoning"
"3PF00000","3PF00000601","Akron WPCF","Akron","Summit"
"1PL00001","1PL00001","Eastern Regional WRF","Dayton","Montgomery"
"1PL00002","1PL00002","Western Regional WRF","Dayton","Montgomery"
"1PF00000","1PF00000601","Dayton WWTP","Dayton","Montgomery"
"2PD00011","2PD00011","City of Marion WPC","Marion","Marion"
"4PE00001","4PE00001","Newark WWTP","Newark","Licking"
"4PE00002","4PE00002601","Marysville WRF","Marysville","Union"
"4PD00004","4PD00004","Upper Olentangy WRC","Delaware","Delaware"
"4PD00001","4PD00001601","Lancaster WPCF","Lancaster","Fairfield"
"0PD00000","0PD00000","Athens WTP","Athens","Athens"
"2PF00001","2PF00001","City Of Sandusky WTP","Sandusky","Erie"
"2PE00001","2PE00001","Mansfield WWTP","Mansfield","Richland"
"2PD00033","2PD00033","Celina WWTP","Celina","Mercer"
"0PE00000","0PE00000601","Zanesville WWTP","Zanesville","Muskingum"
"1PE00007","1PE00007","Springfield WWTP","Springfield","Clark"
"3PE00008","3PE00008","Warren WPCF","Warren","Trumbull"
"3PE00002","3PE00002601","Ashtabula WPCP","Ashtabula","Ashtabula"
"2PD00013","2PD00013601","Defiance WPC","Defiance","Defiance"
"2PK00000","2PK00000","Lucas County WRRF","Toledo","Lucas"
"1PE00002","1PE00002","Hamilton WRF","Hamilton","Butler"
"0PD00016","0PD00016601","Marietta WWTP","Marietta","Washington"
"3PE00005","3PE00005","Lorain Black River WWTP","Lorain","Lorain"
"2PD00000","2PD00000","Napoleon WWTP","Napoleon","Henry"
"4PD00003","4PD00003","Circleville WWTP","Circleville","Pickaway"
"0PD00013","0PD00013","Portsmouth Lawson Run WWTP","Portsmouth","Scioto"
"3PE00000","3PE00000","Canton WRF","Canton","Stark"
"2PE00000","2PE00000","Lima WWTP","Lima","Allen"
"4PB00009","4PB00009601","Pataskala WWTP","Pataskala","Licking"
"0PD00004","0PD00004","Coshocton WWTP","Coshocton","Coshocton"
"3PK00015","3PK00015","Franklin Hills WWTP","Kent","Portage"
"2PD00007","2PD00007","Fremont WRC","Fremont","Sandusky"
"3PD00002","3PD00002","Conneaut WWTP","Conneaut","Ashtabula"
"2PD00028","2PD00028","Village of Ottawa WWTP","Ottawa","Putnam"
"1PC00001","1PC00001601","City of Eaton WWTP","Eaton","Preble"
"1PD00009","1PD00009","City of Sidney WWTP","Sidney","Shelby"
"1PD00013","1PD00013601","City of Wilmington WWTP","Wilmington","Clinton"
"0PD00008","0PD00008","Jackson WWTP","Jackson","Jackson"
"3PD00013","3PD00013","City of Wooster WRRF","Wooster","Wayne"
"4PD00100","4PD00100","Mount Vernon WWTP","Mt Vernon","Knox"
"0PD00014","0PD00014601","Steubenville WWTP","Steubenville","Jefferson"
"2PD00009","2PD00009","Bowling Green WPCF","Bowling Green ","Wood"
"4PD00002","4PD00002","Washington Court House WWTP","Washington Court House","Fayette"
"2PD00008","2PD00008","Findlay WPCF","Findlay","Hancock"
"2PD00020","2PD00020","Kenton WWTP","Kenton","Hardin"
"3PK00004","3PK00004","Liverpool WWTP","Medina","Medina"
"2PD00021","2PD00021","Bucyrus WWTP","Bucyrus","Crawford"
"2PD00018","2PD00018","Bryan WWTP","Bryan","Williams"
"1PD00020","1PD00020","Tri-Cities North Regional WWTP ","Tipp City, Vandalia and Huber Heights   ","Montogmerry"
"3PD00034","3PD00034","Elyria WWTP","Elyria","Lorain"
"1PK00015","1PK00015001","Taylor Creek WWTP","Cincinnati","Hamilton"
"0PD00007","0PD00007","Ironton WWTP","Ironton","Lawrence"
